kraj,month,year,bilance
STC,3,2008,-4.411
JHM,3,2008,-4.411
PLK,3,2008,-4.411
HKK,3,2008,-4.411
VYS,3,2008,-4.411
KVK,3,2008,-4.411
LBK,3,2008,-4.411
PAK,3,2008,-4.411
MSK,3,2008,-4.411
OLK,3,2008,-4.411
ULK,3,2008,-4.411
ZLK,3,2008,-4.411
JHC,3,2008,-4.411
PHA,4,2008,-2.198
STC,4,2008,-2.198
JHM,4,2008,-2.198
PLK,4,2008,-2.198
HKK,4,2008,-2.198
VYS,4,2008,-2.198
KVK,4,2008,-2.198
LBK,4,2008,-2.198
PAK,4,2008,-2.198
MSK,4,2008,-2.198
OLK,4,2008,-2.198
ULK,4,2008,-2.198
ZLK,4,2008,-2.198
JHC,4,2008,-2.198
PHA,5,2008,707
STC,5,2008,707
JHM,5,2008,707
PLK,5,2008,707
HKK,5,2008,707
VYS,5,2008,707
KVK,5,2008,707
LBK,5,2008,707
PAK,5,2008,707
MSK,5,2008,707
OLK,5,2008,707
ULK,5,2008,707
ZLK,5,2008,707
JHC,5,2008,707
PHA,6,2008,2.327
STC,6,2008,2.327
JHM,6,2008,2.327
PLK,6,2008,2.327
HKK,6,2008,2.327
VYS,6,2008,2.327
KVK,6,2008,2.327
LBK,6,2008,2.327
PAK,6,2008,2.327
MSK,6,2008,2.327
OLK,6,2008,2.327
ULK,6,2008,2.327
ZLK,6,2008,2.327
JHC,6,2008,2.327
PHA,7,2008,-4.195
STC,7,2008,-4.195
JHM,7,2008,-4.195
PLK,7,2008,-4.195
HKK,7,2008,-4.195
VYS,7,2008,-4.195
KVK,7,2008,-4.195
LBK,7,2008,-4.195
PAK,7,2008,-4.195
MSK,7,2008,-4.195
OLK,7,2008,-4.195
ULK,7,2008,-4.195
ZLK,7,2008,-4.195
JHC,7,2008,-4.195
PHA,8,2008,-5.629
STC,8,2008,-5.629
JHM,8,2008,-5.629
PLK,8,2008,-5.629
HKK,8,2008,-5.629
VYS,8,2008,-5.629
KVK,8,2008,-5.629
LBK,8,2008,-5.629
PAK,8,2008,-5.629
MSK,8,2008,-5.629
OLK,8,2008,-5.629
ULK,8,2008,-5.629
ZLK,8,2008,-5.629
JHC,8,2008,-5.629
PHA,9,2008,-1.770
STC,9,2008,-1.770
JHM,9,2008,-1.770
PLK,9,2008,-1.770
HKK,9,2008,-1.770
VYS,9,2008,-1.770
KVK,9,2008,-1.770
LBK,9,2008,-1.770
PAK,9,2008,-1.770
MSK,9,2008,-1.770
OLK,9,2008,-1.770
ULK,9,2008,-1.770
ZLK,9,2008,-1.770
JHC,9,2008,-1.770
PHA,10,2008,-12.943
STC,10,2008,-12.943
JHM,10,2008,-12.943
PLK,10,2008,-12.943
HKK,10,2008,-12.943
VYS,10,2008,-12.943
KVK,10,2008,-12.943
LBK,10,2008,-12.943
PAK,10,2008,-12.943
MSK,10,2008,-12.943
OLK,10,2008,-12.943
ULK,10,2008,-12.943
ZLK,10,2008,-12.943
JHC,10,2008,-12.943
PHA,11,2008,-5.681
STC,11,2008,-5.681
JHM,11,2008,-5.681
PLK,11,2008,-5.681
HKK,11,2008,-5.681
VYS,11,2008,-5.681
KVK,11,2008,-5.681
LBK,11,2008,-5.681
PAK,11,2008,-5.681
MSK,11,2008,-5.681
OLK,11,2008,-5.681
ULK,11,2008,-5.681
ZLK,11,2008,-5.681
JHC,11,2008,-5.681
PHA,12,2008,-14.178
STC,12,2008,-14.178
JHM,12,2008,-14.178
PLK,12,2008,-14.178
HKK,12,2008,-14.178
VYS,12,2008,-14.178
KVK,12,2008,-14.178
LBK,12,2008,-14.178
PAK,12,2008,-14.178
MSK,12,2008,-14.178
OLK,12,2008,-14.178
ULK,12,2008,-14.178
ZLK,12,2008,-14.178
JHC,12,2008,-14.178
PHA,1,2009,-2.730
STC,1,2009,-2.730
JHM,1,2009,-2.730
PLK,1,2009,-2.730
HKK,1,2009,-2.730
VYS,1,2009,-2.730
KVK,1,2009,-2.730
LBK,1,2009,-2.730
PAK,1,2009,-2.730
MSK,1,2009,-2.730
OLK,1,2009,-2.730
ULK,1,2009,-2.730
ZLK,1,2009,-2.730
JHC,1,2009,-2.730
PHA,2,2009,-74
STC,2,2009,-74
JHM,2,2009,-74
PLK,2,2009,-74
HKK,2,2009,-74
VYS,2,2009,-74
KVK,2,2009,-74
LBK,2,2009,-74
PAK,2,2009,-74
MSK,2,2009,-74
OLK,2,2009,-74
ULK,2,2009,-74
ZLK,2,2009,-74
JHC,2,2009,-74
PHA,3,2009,9.819
STC,3,2009,9.819
JHM,3,2009,9.819
PLK,3,2009,9.819
HKK,3,2009,9.819
VYS,3,2009,9.819
KVK,3,2009,9.819
LBK,3,2009,9.819
PAK,3,2009,9.819
MSK,3,2009,9.819
OLK,3,2009,9.819
ULK,3,2009,9.819
ZLK,3,2009,9.819
JHC,3,2009,9.819
PHA,4,2009,2.739
STC,4,2009,2.739
JHM,4,2009,2.739
PLK,4,2009,2.739
HKK,4,2009,2.739
VYS,4,2009,2.739
KVK,4,2009,2.739
LBK,4,2009,2.739
PAK,4,2009,2.739
MSK,4,2009,2.739
OLK,4,2009,2.739
ULK,4,2009,2.739
ZLK,4,2009,2.739
JHC,4,2009,2.739
PHA,5,2009,2.499
STC,5,2009,2.499
JHM,5,2009,2.499
PLK,5,2009,2.499
HKK,5,2009,2.499
VYS,5,2009,2.499
KVK,5,2009,2.499
LBK,5,2009,2.499
PAK,5,2009,2.499
MSK,5,2009,2.499
OLK,5,2009,2.499
ULK,5,2009,2.499
ZLK,5,2009,2.499
JHC,5,2009,2.499
PHA,6,2009,9.256
STC,6,2009,9.256
JHM,6,2009,9.256
PLK,6,2009,9.256
HKK,6,2009,9.256
VYS,6,2009,9.256
KVK,6,2009,9.256
LBK,6,2009,9.256
PAK,6,2009,9.256
MSK,6,2009,9.256
OLK,6,2009,9.256
ULK,6,2009,9.256
ZLK,6,2009,9.256
JHC,6,2009,9.256
PHA,7,2009,1.037
STC,7,2009,1.037
JHM,7,2009,1.037
PLK,7,2009,1.037
HKK,7,2009,1.037
VYS,7,2009,1.037
KVK,7,2009,1.037
LBK,7,2009,1.037
PAK,7,2009,1.037
MSK,7,2009,1.037
OLK,7,2009,1.037
ULK,7,2009,1.037
ZLK,7,2009,1.037
JHC,7,2009,1.037
PHA,8,2009,945
STC,8,2009,945
JHM,8,2009,945
PLK,8,2009,945
HKK,8,2009,945
VYS,8,2009,945
KVK,8,2009,945
LBK,8,2009,945
PAK,8,2009,945
MSK,8,2009,945
OLK,8,2009,945
ULK,8,2009,945
ZLK,8,2009,945
JHC,8,2009,945
PHA,9,2009,4.330
STC,9,2009,4.330
JHM,9,2009,4.330
PLK,9,2009,4.330
HKK,9,2009,4.330
VYS,9,2009,4.330
KVK,9,2009,4.330
LBK,9,2009,4.330
PAK,9,2009,4.330
MSK,9,2009,4.330
OLK,9,2009,4.330
ULK,9,2009,4.330
ZLK,9,2009,4.330
JHC,9,2009,4.330
PHA,10,2009,5.213
STC,10,2009,5.213
JHM,10,2009,5.213
PLK,10,2009,5.213
HKK,10,2009,5.213
VYS,10,2009,5.213
KVK,10,2009,5.213
LBK,10,2009,5.213
PAK,10,2009,5.213
MSK,10,2009,5.213
OLK,10,2009,5.213
ULK,10,2009,5.213
