month,year,kraj,uchazeciOZamestnaniUoZ,noveHlaseniUchazeci,noveHlasenaAUvolnenaVPM,obsazenaAZrusenaVPM,absolventiSkolAMladistvi
4,2011,ZLK,30179,2494,857,566,1990
5,2011,HKK,20357,2216,1148,1105,1232
5,2011,JHC,24390,2654,1037,971,1636
5,2011,JHM,59963,5030,2167,1937,3509
5,2011,KVK,17811,1565,475,346,967
5,2011,LBK,23381,2084,1098,883,1185
5,2011,MSK,74549,6114,2678,2003,4069
5,2011,OLK,35599,2672,1248,1393,2008
5,2011,PAK,21879,2173,1166,1144,1380
5,2011,PHA,32295,3887,2611,2853,1417
5,2011,PLK,22494,2417,883,862,1106
5,2011,STC,49000,5037,1633,1388,2579
5,2011,ULK,56716,4521,1009,844,3001
5,2011,VYS,23003,1877,771,655,1692
5,2011,ZLK,28519,2380,952,896,1675
6,2011,HKK,19943,2326,1238,1095,1085
6,2011,JHC,23648,2827,945,878,1368
6,2011,JHM,58431,5207,1865,2229,3030
6,2011,KVK,17381,1562,386,546,819
6,2011,LBK,22771,2235,752,738,1041
6,2011,MSK,72766,6159,2842,2037,3572
6,2011,OLK,34359,2844,1039,1084,1627
6,2011,PAK,21202,2266,1065,1074,1158
6,2011,PHA,32101,4175,2684,2514,1314
6,2011,PLK,22099,2495,992,866,948
6,2011,STC,48517,5161,1667,1570,2244
6,2011,ULK,55615,4461,942,946,2559
6,2011,VYS,22386,2115,530,480,1444
